Date,Open,High,Low,Volume
2017-08-19,44.74,47.0,43.76,182896.48595766
2017-08-18,44.02,47.99,43.29,342923.18050709
2017-08-17,44.05,44.7,43.13,165260.24725992
2017-08-16,43.51,44.94,42.01,202916.79843472
2017-08-15,45.49,45.88,41.65,306484.65361148
2017-08-14,45.27,46.34,44.82,192027.89824155
2017-08-13,46.13,47.38,44.05,277664.87099626
2017-08-12,47.39,47.8,46.02,247689.30099722
2017-08-11,47.83,47.84,46.6,190316.78981976
2017-08-10,47.56,48.6,47.01,162475.18180945
2017-08-09,49.11,49.98,46.66,341978.5533813
2017-08-08,45.9,49.87,45.75,339105.39047099
2017-08-07,45.31,46.5,45.01,162812.63907129
2017-08-06,45.49,46.65,44.78,181285.97609426
2017-08-05,43.0,47.09,43.0,342712.07577056
2017-08-04,42.42,43.49,42.34,112717.54630567
2017-08-03,41.68,42.87,41.57,101051.32242781
2017-08-02,43.33,43.34,41.52,166832.85871711
2017-08-01,42.36,43.84,41.18,290575.95855872
2017-07-31,40.75,43.8,38.4,300605.11293402
2017-07-30,40.79,42.16,39.56,72391.89783023
2017-07-29,40.26,40.4,38.28,120783.0426325
2017-07-28,42.11,42.17,40.31,148630.56165257
2017-07-27,41.89,42.3,40.8,136930.13520962
2017-07-26,41.42,43.0,40.4,205652.28078496
2017-07-25,45.09,45.15,40.23,317772.32458793
2017-07-24,44.9,45.49,44.41,123118.34414469
2017-07-23,47.3,47.48,44.1,184672.81512376
2017-07-22,45.79,47.52,44.43,178875.99528871
2017-07-21,44.79,47.93,44.0,496530.39787559
2017-07-20,40.46,45.0,39.68,409085.06846578
2017-07-19,43.21,43.96,39.68,326522.24117133
2017-07-18,42.5,45.0,40.56,429524.73082369
2017-07-17,40.53,43.08,39.72,539609.59182077
2017-07-16,39.46,40.5,34.78,609011.07599408
2017-07-15,42.34,42.99,37.5,513646.58703598
2017-07-14,45.25,45.73,40.0,426754.0268952
2017-07-13,47.16,47.88,44.1,274420.67880439
2017-07-12,44.26,48.48,42.1,494855.09637381
2017-07-11,44.8,46.78,41.38,571923.14192974
2017-07-10,49.61,49.98,44.1,469625.16704865
2017-07-09,51.39,52.61,49.3,319165.47717972
2017-07-08,45.25,51.77,44.18,507910.26511788
2017-07-07,51.52,51.7,44.28,636922.98583932
2017-07-06,53.19,53.75,50.01,392889.79379234
2017-07-05,53.2,57.75,49.01,909824.28000974
2017-07-04,45.86,53.85,45.51,1025432.149101
2017-07-03,41.33,47.7,40.6,639757.00781357
2017-07-02,37.87,41.99,37.15,249630.9080719
2017-07-01,39.56,39.83,37.4,173463.2760242
2017-06-30,40.64,41.2,39.22,186929.59558731
2017-06-29,41.74,42.5,39.6,240686.43343626
2017-06-28,39.6,43.44,37.3,508979.33704921
2017-06-27,38.6,39.77,33.61,603323.81684058
2017-06-26,40.38,41.98,33.38,625397.93810374
2017-06-25,43.06,43.76,38.27,396528.10398735
2017-06-24,45.87,46.2,42.05,323481.32655941
2017-06-23,45.96,46.96,45.52,228622.08437565
2017-06-22,42.75,47.89,41.92,410872.42861835
2017-06-21,45.78,46.19,41.5,378997.93201671
2017-06-20,48.32,48.45,42.5,666880.93349941
2017-06-19,42.5,49.99,42.08,1133839.6495829
2017-06-18,47.47,47.69,39.56,981359.68345839
2017-06-17,32.59,49.0,32.59,2058669.0137957
2017-06-16,28.95,33.87,27.65,572652.68806175
2017-06-15,28.6,29.4,24.42,543291.87683263
2017-06-14,29.75,32.0,27.5,543485.01958626
2017-06-13,28.75,30.65,28.71,343917.39696889
2017-06-12,33.56,34.4,27.0,694549.75283924
2017-06-11,29.54,35.5,29.39,623960.9493205
2017-06-10,29.6,30.13,29.0,345208.68572705
2017-06-09,30.44,30.9,29.6,314442.23604637
2017-06-08,28.86,30.85,27.99,304261.62255031
2017-06-07,29.84,30.8,27.65,310327.07505447
2017-06-06,30.24,31.33,28.08,556425.83046207
2017-06-05,27.6,31.8,27.53,515174.71568614
2017-06-04,27.77,27.9,26.79,239863.87781962
2017-06-03,27.78,28.3,26.79,234926.82318379
2017-06-02,27.03,28.95,26.56,280269.26637463
2017-06-01,25.97,29.94,25.61,619786.11389165
2017-05-31,23.89,26.22,23.5,354753.42922937
2017-05-30,25.87,26.5,23.52,345364.18522759
2017-05-29,24.39,26.72,23.68,275091.1490191
2017-05-28,23.41,26.95,23.06,323824.37425587
2017-05-27,26.15,26.96,19.08,594541.32106703
2017-05-26,30.91,32.0,24.31,573176.69966511
2017-05-25,34.08,35.5,25.26,560039.25498788
2017-05-24,30.2,35.88,30.18,684492.1076875
2017-05-23,24.79,31.78,23.33,582061.61894145
2017-05-22,26.26,26.99,22.5,521791.75083915
2017-05-21,27.43,28.68,25.44,345981.3608202
2017-05-20,26.66,27.98,26.65,239380.34598922
2017-05-19,28.75,28.92,26.32,455964.34414424
2017-05-18,24.32,29.41,24.15,534779.11667087
2017-05-17,23.89,26.5,20.31,779974.66492778
2017-05-16,25.94,26.01,21.0,633836.13358991
2017-05-15,28.48,29.11,25.27,339122.10290798
2017-05-14,28.4,30.6,27.75,265089.05754595
2017-05-13,28.35,28.59,25.04,329195.94403194
2017-05-12,30.32,31.59,25.06,474284.53897335
2017-05-11,33.4,33.78,28.31,548553.42276369
2017-05-10,31.44,38.91,30.01,898819.03995039
2017-05-09,29.0,32.0,22.67,654256.04713797
2017-05-08,30.69,30.92,28.04,460570.40606707
2017-05-07,28.77,32.3,28.29,719525.72252025
2017-05-06,26.79,28.88,26.01,428008.58600985
2017-05-05,24.11,28.69,23.83,789735.29208981
2017-05-04,21.94,29.75,21.75,1471435.8238598
2017-05-03,16.18,36.0,15.99,1136542.873519
2017-05-02,16.08,16.62,15.5,118793.7794038
2017-05-01,16.27,17.3,15.55,262938.12151203
2017-04-30,16.22,16.74,15.8,300069.35819918
2017-04-29,14.81,16.22,14.5,248187.99587162
2017-04-28,14.9,15.12,14.5,219477.55801107
2017-04-27,14.99,15.51,13.47,393369.85594936
2017-04-26,15.54,16.17,14.69,349913.78653046
2017-04-25,14.98,15.73,14.51,207990.05243244
2017-04-24,15.48,15.52,14.3,244391.69751353
2017-04-23,14.04,16.0,14.01,424190.17623497
2017-04-22,12.06,16.0,12.0,479419.18639502
2017-04-21,10.93,12.45,10.85,339819.45274989
2017-04-20,10.19,11.4,10.15,220701.08452287
2017-04-19,10.81,11.0,10.01,142732.059626
2017-04-18,11.66,11.73,10.27,296394.11574585
2017-04-17,11.7,12.6,11.5,231129.10321632
2017-04-16,11.99,11.99,10.46,49078.88035727
2017-04-14,11.14,11.84,11.03,148665.81992646
2017-04-13,11.72,11.8,10.63,195108.49861329
2017-04-12,9.66,12.23,9.66,357022.85916837
2017-04-11,9.87,10.35,9.45,140410.95014843
2017-04-10,9.32,10.12,8.89,186449.35092269
2017-04-09,10.85,10.99,8.57,202249.01578684
2017-04-08,10.15,11.39,9.83,148673.51665574
2017-04-07,10.72,11.39,9.39,275196.39759472
2017-04-06,12.8,13.75,9.7,765682.09128871
2017-04-05,9.21,13.2,8.88,529556.71310434
2017-04-04,8.44,9.78,8.35,211744.3213212
2017-04-03,8.19,9.5,7.5,208968.35740101
2017-04-02,7.56,8.88,7.03,224886.46893558
2017-04-01,7.17,7.68,6.65,149089.87683298
2017-03-31,7.5,7.9,5.75,272716.46334162
2017-03-30,4.33,9.9,4.26,371512.21137127
2017-03-29,4.19,4.5,4.12,30194.08537651
2017-03-28,4.09,4.22,4.07,15832.51646454
2017-03-27,4.1,4.19,4.03,29738.15367996
2017-03-26,4.09,4.12,4.04,17323.07831702
2017-03-25,4.2,4.5,3.97,35175.85727085
2017-03-24,3.96,4.27,3.93,46736.54695161
2017-03-23,3.91,4.03,3.9,13231.13927476
2017-03-22,4.05,4.05,3.81,19119.58555673
2017-03-21,4.08,4.2,3.95,19638.77519872
2017-03-19,3.96,4.15,3.85,13026.03114743
2017-03-18,4.14,4.43,3.69,34311.37287108
2017-03-17,4.31,4.35,4.0,16735.94476462
2017-03-16,4.33,4.61,4.22,26096.19278303
2017-03-15,4.21,4.45,4.1,12442.84966588
2017-03-14,4.38,4.43,4.14,12303.33325112
2017-03-13,3.93,4.59,3.89,41179.45816944
2017-03-12,3.78,3.95,3.77,11057.36779239
2017-03-11,3.92,4.1,3.7,18553.98527228
2017-03-10,3.84,3.95,3.83,4531.53875602
2017-03-09,4.01,4.01,3.83,6430.79701904
2017-03-08,4.1,4.26,3.9,7521.18445213
2017-03-07,4.01,4.1,3.96,6313.5556263
2017-03-06,4.04,4.04,3.85,2679.41562998
2017-03-05,4.07,4.14,3.88,7149.99329821
2017-03-04,4.08,4.5,4.01,11345.61293679
2017-03-03,3.87,4.29,3.8,17914.11527615
2017-03-02,3.87,3.95,3.8,7024.09542922
2017-02-28,3.89,3.93,3.85,8118.8498745
2017-02-27,3.9,3.93,3.84,1609.56081596
2017-02-26,3.95,3.98,3.83,6196.6943855
2017-02-25,3.93,4.0,3.79,4441.75626504
2017-02-24,3.89,4.0,3.89,4162.74020684
2017-02-23,3.85,3.93,3.85,3827.01252861
2017-02-22,3.81,3.89,3.76,4251.93537113
2017-02-21,3.81,3.85,3.76,5834.80427348
2017-02-20,3.82,3.85,3.76,5782.48861838
2017-02-19,3.91,3.94,3.8,6207.00414511
2017-02-18,3.88,3.95,3.85,2416.16966506
2017-02-17,3.88,3.92,3.85,2015.24750369
2017-02-16,3.84,3.91,3.81,5261.16407842
2017-02-15,3.77,3.83,3.76,3844.94051118
2017-02-14,3.8,3.83,3.74,3942.7858101
2017-02-13,3.84,3.85,3.77,1832.8473036
2017-02-12,3.83,3.88,3.82,6108.18023048
2017-02-11,3.77,3.89,3.7,4404.80087656
2017-02-10,3.97,3.99,3.62,22706.10216558
2017-02-09,3.98,4.06,3.91,12258.99693194
2017-02-08,3.96,4.02,3.94,15502.57363791
2017-02-07,3.97,4.02,3.94,1658.07322563
2017-02-06,4.03,4.03,3.91,1445.03371702
2017-02-05,4.05,4.05,3.94,3032.66367558
2017-02-04,4.09,4.12,3.91,3821.36943223
2017-02-03,4.07,4.11,3.97,4410.21642779
2017-02-02,4.08,4.15,3.95,4314.56214508
2017-02-01,4.09,4.19,4.03,8596.57969486
2017-01-31,3.88,4.09,3.83,6028.98498707
2017-01-30,3.89,3.9,3.84,460.633031
2017-01-29,3.89,3.9,3.85,739.60105816
2017-01-28,3.85,3.96,3.79,4270.05107462
2017-01-27,3.69,3.98,3.68,5427.00316018
2017-01-26,3.72,3.81,3.65,3286.03867809
2017-01-25,3.82,3.89,3.73,3713.1153747
2017-01-24,3.88,3.92,3.83,1251.1231995
2017-01-23,3.92,3.97,3.85,1766.44234152
2017-01-22,3.93,3.93,3.89,620.69202082
2017-01-21,3.9,3.95,3.86,892.64803343
2017-01-20,3.88,3.96,3.83,3078.50019142
2017-01-19,3.95,3.95,3.81,2325.9725537
2017-01-18,3.87,4.16,3.87,1796.89130591
2017-01-17,3.97,3.98,3.88,277.48073865
2017-01-16,4.01,4.1,3.95,1496.63730284
2017-01-15,3.97,4.25,3.92,1902.31915027
2017-01-14,4.03,4.05,3.9,729.59562931
2017-01-13,4.0,4.14,3.79,5924.21040933
2017-01-12,4.59,4.68,3.93,2430.55468479
2017-01-11,4.18,4.75,4.04,2519.55819666
2017-01-10,4.03,4.4,3.89,2350.52896932
2017-01-09,3.99,4.4,3.99,662.74881014
2017-01-08,3.93,4.49,3.66,3236.49203801
2017-01-07,4.24,4.39,3.83,2260.62422717
2017-01-06,4.88,4.88,3.88,6953.20469823
2017-01-05,4.54,5.99,4.45,8953.38564012
2017-01-04,4.56,4.65,4.42,1600.82097023
2017-01-03,4.47,4.9,4.4,5942.10403011
2017-01-02,4.38,4.57,4.34,3108.3922622
2017-01-01,4.39,4.48,4.28,1399.91904233
2016-12-31,4.69,4.69,4.21,426.94785599
2016-12-30,4.63,5.0,4.4,1370.34090394
2016-12-29,4.33,4.6,4.3,1945.50379097
2016-12-28,4.25,4.52,4.18,1164.89226659
2016-12-27,4.3,4.37,4.13,471.88539938
2016-12-26,4.37,4.49,4.08,2399.39612917
2016-12-25,4.6,5.14,4.2,5627.16311336
2016-12-24,3.76,4.61,3.65,6043.75896313
2016-12-23,3.65,3.88,3.62,2625.41123032
2016-12-22,3.64,3.91,3.62,1395.81833929
2016-12-21,3.66,3.69,3.61,117.18351498
2016-12-20,3.69,3.71,3.61,69.12426953
2016-12-19,3.69,3.73,3.62,270.11019021
2016-12-18,3.63,3.72,3.6,205.3714481
2016-12-17,3.64,3.68,3.56,178.68912666
2016-12-16,3.69,3.7,3.5,313.69703983
2016-12-15,3.62,3.66,3.6,278.33314726
2016-12-14,3.66,3.68,3.62,13.075736
2016-12-13,3.66,3.69,3.62,247.36596667
2016-12-12,3.65,3.7,3.61,51.114293
2016-12-11,3.7,3.72,3.63,62.14280756
2016-12-10,3.69,3.74,3.61,260.47930951
2016-12-09,3.65,3.77,3.63,1824.5135749
2016-12-08,3.52,3.86,3.49,1148.402324
2016-12-07,3.47,3.56,3.42,192.57790562
2016-12-06,3.88,3.88,3.32,4950.77124981
2016-12-05,3.89,3.92,3.86,158.26203601
2016-12-04,3.89,3.9,3.87,100.42959527
2016-12-03,3.89,3.94,3.87,405.94085679
2016-12-02,3.88,3.89,3.84,175.47655785
2016-12-01,3.84,3.98,3.51,1834.48678013
2016-11-30,3.84,3.91,3.81,723.31216028
2016-11-29,3.89,3.92,3.81,976.94630694
2016-11-28,3.88,3.89,3.82,149.15449702
2016-11-27,3.91,3.91,3.81,1259.46097647
2016-11-26,3.89,3.91,3.85,172.33157342
2016-11-25,3.89,3.93,3.86,190.51390208
2016-11-24,3.97,3.97,3.86,334.49328894
2016-11-23,3.93,3.99,3.88,873.21722619
2016-11-22,3.88,3.93,3.87,130.56804247
2016-11-21,3.94,3.99,3.86,164.1882704
2016-11-20,3.88,3.99,3.85,256.35493303
2016-11-19,3.86,3.95,3.85,385.55795147
2016-11-18,3.94,3.96,3.81,2422.79564119
2016-11-17,3.93,4.06,3.86,2465.76982702
2016-11-16,3.86,3.96,3.84,733.23393015
2016-11-15,3.85,3.91,3.81,454.16813561
2016-11-14,3.77,3.94,3.65,3254.2436655
2016-11-13,3.85,3.85,3.72,2330.77191386
2016-11-12,3.84,3.86,3.79,192.26293401
2016-11-11,3.85,3.94,3.79,297.62429801
2016-11-10,3.84,3.99,3.77,2068.25843906
2016-11-09,3.89,3.91,3.84,477.47407023
2016-11-08,3.87,3.92,3.83,517.64928536
2016-11-06,3.86,3.93,3.85,57.15839582
2016-11-05,3.88,3.94,3.86,269.721605
2016-11-04,3.89,3.98,3.77,2540.16294301
2016-11-03,4.07,4.34,3.8,5246.37365236
2016-11-02,4.12,4.35,3.99,1361.95719469
2016-11-01,3.98,4.5,3.92,2693.76536003
2016-10-31,4.0,4.07,3.92,277.536343
2016-10-30,4.24,4.25,4.0,768.19422849
2016-10-29,3.9,4.24,3.9,1304.19374833
2016-10-28,3.99,4.02,3.88,735.63623
2016-10-27,3.89,4.14,3.89,1596.91708355
2016-10-26,3.85,3.96,3.76,2819.3274945
2016-10-25,3.82,3.88,3.8,514.17870205
2016-10-24,3.88,3.89,3.82,449.69921483
2016-10-23,3.84,3.89,3.7,1295.29654843
2016-10-22,3.79,3.88,3.75,1069.41403792
2016-10-21,3.8,3.81,3.75,594.79127836
2016-10-20,3.79,3.81,3.78,259.96955288
2016-10-19,3.91,3.91,3.79,1271.12071988
2016-10-18,3.86,3.9,3.8,631.87737683
2016-10-17,3.88,3.94,3.84,215.77607041
2016-10-16,3.86,3.94,3.94,13.232177
2016-10-15,3.83,3.94,3.89,95.75428029
2016-10-14,3.82,3.92,3.83,41.21454918
2016-10-13,3.8,3.93,3.8,2328.76886447
2016-10-12,3.79,3.83,3.83,361.49166126
2016-10-11,3.75,3.84,3.79,939.69373486
2016-10-10,3.79,3.84,3.84,507.310121
2016-10-09,3.8,3.86,3.86,61.87969416
2016-10-08,3.8,3.88,3.86,449.02677586
2016-10-07,3.8,3.87,3.82,210.94599755
2016-10-06,3.78,3.86,3.84,2211.69074185
2016-10-05,3.79,3.91,3.81,1121.28225146
2016-10-04,3.81,3.9,3.83,2314.12268166
2016-10-03,3.83,3.94,3.83,787.89818079
2016-10-02,3.82,3.86,3.85,95.21214912
2016-10-01,3.81,3.86,3.81,382.93188769
2016-09-30,3.8,3.87,3.87,1089.14031204
2016-09-29,3.81,3.88,3.81,109.71488795
2016-09-28,3.79,3.9,3.85,323.28097636
2016-09-27,3.79,3.88,3.88,979.69308301
2016-09-26,3.79,4.0,3.84,822.08343536
2016-09-25,3.8,3.86,3.86,243.9143566
2016-09-24,3.83,4.06,4.06,231.39109866
2016-09-23,3.77,4.2,3.79,768.69918769
2016-09-22,3.76,5.05,3.76,2472.2912189
2016-09-21,3.61,6.72,3.81,2314.96967963
2016-09-20,3.8,4.0,3.85,1888.36822494
2016-09-19,3.76,3.93,3.87,1152.56735647
2016-09-18,3.81,3.87,3.82,1268.13234853
2016-09-17,3.81,3.88,3.88,213.26072059
2016-09-16,3.8,3.89,3.83,326.54079783
2016-09-15,3.81,3.95,3.83,596.04151613
2016-09-14,3.8,3.85,3.85,62.00213935
2016-09-13,3.8,3.88,3.88,335.83716651
2016-09-12,3.77,3.96,3.93,836.43497355
2016-09-11,3.86,4.04,4.0,1165.51276772
2016-09-10,3.95,4.0,3.96,19.294452
2016-09-09,3.94,4.02,3.97,395.95176374
2016-09-08,3.95,4.03,3.97,81.04091099
2016-09-07,3.91,4.03,3.95,502.700852
2016-09-06,3.91,3.98,3.96,644.21801065
2016-09-05,3.94,4.07,4.01,450.68590894
2016-09-04,3.85,4.08,3.99,1144.966193
2016-09-03,3.8,3.99,3.84,1734.6187445
2016-09-02,3.67,4.35,3.67,2725.27020995
2016-09-01,3.26,3.9,3.74,3631.15231935
2016-08-31,3.74,3.85,3.81,339.89777816
2016-08-30,3.74,3.85,3.74,352.57963435
2016-08-29,3.7,3.84,3.7,909.33337911
2016-08-28,3.72,3.78,3.72,0.204672
2016-08-27,3.62,3.85,3.85,1150.72220744
2016-08-26,3.77,3.9,3.81,3336.89310108
2016-08-25,3.75,3.88,3.82,4985.64064162
2016-08-24,3.61,3.96,3.95,5183.1351851
2016-08-23,3.61,5.49,3.99,5619.78814766
